"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"7524 Ciano Ln","Houston","TX","1850000","6/24/2025","5","5.5","5270","https://www.redfin.com/TX/Houston/7524-Ciano-Ln-77055/home/52562658"
"14430 Kingston Cove Ln","Houston","TX","1060000","7/1/2025","5","4.5","3890","https://www.redfin.com/TX/Houston/14430-Kingston-Cove-Ln-77077/home/52557153"
"6911 Lawler Rdg","Houston","TX","875000","6/27/2025","4","3","2940","https://www.redfin.com/TX/Houston/6911-Lawler-Rdg-77055/home/30651527"
"2012 W 14th St Unit B","Houston","TX","850000","6/27/2025","3","3.5","2758","https://www.redfin.com/TX/Houston/2012-W-14th-St-77008/unit-B/home/29983069"
"3010 Lamar St","Houston","TX","599000","6/30/2025","3","3.5","2408","https://www.redfin.com/TX/Houston/3010-Lamar-St-77003/home/194734407"
"8706 Park Kolbe Ln","Houston","TX","585000","6/24/2025","3","2.5","2005","https://www.redfin.com/TX/Houston/8706-Park-Kolbe-Ln-77080/home/148102980"
"6343 E Mystic Mdw","Houston","TX","575000","6/24/2025","3","3.5","2703","https://www.redfin.com/TX/Houston/6343-E-Mystic-Mdw-77021/home/29160053"
"9809 Hope Harbor Ln","Houston","TX","550000","7/3/2025","4","3.5","2251","https://www.redfin.com/TX/Houston/9809-Hope-Harbor-Ln-77080/home/45414320"
"9227 Ashville Dr","Houston","TX","540000","6/27/2025","3","2","3088","https://www.redfin.com/TX/Houston/9227-Ashville-Dr-77051/home/194240976"
"1410 Knox St","Houston","TX","495000","7/1/2025","3","2.5","2024","https://www.redfin.com/TX/Houston/1410-Knox-St-77007/home/29576475"
"2025 Welch St","Houston","TX","485000","7/1/2025","3","3.5","2272","https://www.redfin.com/TX/Houston/2025-Welch-St-77019/home/29821749"
"2706 Grand Fountains Dr Unit D","Houston","TX","474990","6/24/2025","3","3.5","2177","https://www.redfin.com/TX/Houston/2706-Grand-Fountains-Dr-77054/unit-D/home/195870152"
"6618 Ivy Heath Ln","Houston","TX","445000","7/2/2025","4","2","2471","https://www.redfin.com/TX/Houston/6618-Ivy-Heath-Ln-77041/home/29284259"
"8430 Snowy Owl Ln","Houston","TX","425380","6/30/2025","4","3.5","2837","https://www.redfin.com/TX/Houston/8430-Snowy-Owl-LN-77049/home/195261673"
"9223 Washington Heights St","Houston","TX","419990","6/28/2025","3","2.5","1684","https://www.redfin.com/TX/Houston/9223-Washington-Dr-Unknown/home/195870459"
"2635 Bandelier Dr","Houston","TX","400000","6/27/2025","4","2","2103","https://www.redfin.com/TX/Houston/2635-Bandelier-Dr-77080/home/30199400"
"8503 Kolbe Village Way","Houston","TX","394700","6/27/2025","3","3.5","1799","https://www.redfin.com/TX/Houston/8503-Kolbe-Ln-77055/home/194989560"
"9732 Tuffly St Unit A/B","Houston","TX","385000","6/26/2025","3","2","2310","https://www.redfin.com/TX/Houston/9732-Tuffly-St-77029/unit-A-B/home/194176834"
"9730 Tuffly St Unit A/B","Houston","TX","385000","6/27/2025","3","2","2310","https://www.redfin.com/TX/Houston/9730-Tuffly-St-77029/unit-A-B/home/194178004"
"9012 Orange Spring Dr","Houston","TX","359900","6/30/2025","3","2.5","1461","https://www.redfin.com/TX/Houston/9012-Orange-Spring-Dr-77080/home/173669197"
"9010 Orange Spring Dr","Houston","TX","359900","6/30/2025","3","2.5","1461","https://www.redfin.com/TX/Houston/9010-Orange-Spring-Dr-77080/home/173669196"
"6026 Tc Jester Blvd","Houston","TX","334700","6/30/2025","3","2.5","1623","https://www.redfin.com/TX/Houston/6026-T-C-Jester-Blvd-77091/home/188351792"
"8007 Creede Dr","Houston","TX","310000","6/30/2025","3","3.5","2521","https://www.redfin.com/TX/Houston/8007-Creede-Dr-77040/home/29215947"
"8210 Edgemoor Dr","Houston","TX","290000","6/25/2025","3","2","1900","https://www.redfin.com/TX/Houston/8210-Edgemoor-Dr-77036/home/30162160"
"4718 Country Spring Rd","Houston","TX","289900","6/27/2025","3","2","1933","https://www.redfin.com/TX/Houston/4718-Country-Spring-Rd-77084/home/30589677"
"4107 Grapevine St","Houston","TX","257000","6/23/2025","3","2","1439","https://www.redfin.com/TX/Houston/4107-Grapevine-St-77045/home/30138132"
"2503 Sherwood Hollow Ln","Houston","TX","255000","6/30/2025","3","2","1511","https://www.redfin.com/TX/Kingwood/2503-Sherwood-Hollow-Ln-77339/home/30619356"
"7406 Sierra Grande Ct","Houston","TX","225000","6/26/2025","3","2","1482","https://www.redfin.com/TX/Houston/7406-Sierra-Grande-Ct-77083/home/32946219"
"9107 Kalewood Dr","Houston","TX","210000","6/25/2025","3","2","1444","https://www.redfin.com/TX/Houston/9107-Kalewood-Dr-77099/home/30417187"
"8806 Tweed Dr","Houston","TX","160000","7/1/2025","3","2","968","https://www.redfin.com/TX/Houston/8806-Tweed-Dr-77061/home/29850981"
"8100 Cambridge St #90","Houston","TX","160000","6/25/2025","2","2","1378","https://www.redfin.com/TX/Houston/8100-Cambridge-St-77054/unit-90/home/30448458"
"3707 Alsace St","Houston","TX","115000","7/1/2025","2","1","1135","https://www.redfin.com/TX/Houston/3707-Alsace-St-77021/home/30034991"
