"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"404 W Brookfield Ave","Nashville","TN","6700000","6/24/2025","5","5","6871","https://www.redfin.com/TN/Nashville/404-W-Brookfield-Ave-37205/home/60841644"
"1209 Nichol Ln","Nashville","TN","3010000","6/27/2025","4","4","5055","https://www.redfin.com/TN/Nashville/1209-Nichol-Ln-37205/home/78769804"
"110 Christopher Pl","Nashville","TN","1100000","6/26/2025","5","4.5","3107","https://www.redfin.com/TN/Nashville/110-Christopher-St-37205/home/196199374"
"1013 Sycamore Ests","Nashville","TN","953560","6/25/2025","5","3.5","3750","https://www.redfin.com/TN/Nashville/1013-Sycamore-Ests-37211/home/195831208"
"1049 Sycamore Ests","Nashville","TN","951256","6/27/2025","5","4.5","3194","https://www.redfin.com/TN/Nashville/1049-Sycamore-Ests-37211/home/195831217"
"1045 Sycamore Ests","Nashville","TN","946670","6/30/2025","4","3.5","3194","https://www.redfin.com/TN/Nashville/1045-Sycamore-Ests-37211/home/195831205"
"3024 Edwin Cir","Nashville","TN","745000","6/26/2025","4","3.5","2451","https://www.redfin.com/TN/Nashville/3024-Edwin-Cir-37207/home/178257236"
"2920 Westmoreland Dr","Nashville","TN","720000","7/3/2025","3","2","1712","https://www.redfin.com/TN/Nashville/2920-Westmoreland-Dr-37212/home/87805458"
"217 Cheswick Ct","Nashville","TN","595000","6/23/2025","2","2.5","1953","https://www.redfin.com/TN/Nashville/217-Cheswick-Ct-37215/home/108027135"
"1821A Tammany Dr","Nashville","TN","575000","6/23/2025","2","2","1203","https://www.redfin.com/TN/Nashville/1821-Tammany-Dr-37216/home/178257532"
"1748 Haleys Hope Ct","Nashville","TN","535000","6/26/2025","3","2","2114","https://www.redfin.com/TN/Nashville/1748-Haleys-Hope-Ct-37209/home/68849647"
"1106 2nd Ave S Unit A","Nashville","TN","510000","6/26/2025","3","2.5","1604","https://www.redfin.com/TN/Nashville/1106-2nd-Ave-S-37210/unit-A/home/112482102"
"5677 Old Hickory Blvd","Nashville","TN","475000","6/30/2025","3","1","2070","https://www.redfin.com/TN/Nashville/5677-Old-Hickory-Blvd-37218/home/107997140"
"1409 Haysboro Ave","Nashville","TN","350000","6/23/2025","","","","https://www.redfin.com/TN/Nashville/1409-Haysboro-Ave-37216/home/60784616"
"1090 Haysboro Ave #210","Nashville","TN","300000","6/26/2025","1","1","597","https://www.redfin.com/TN/Nashville/1090-Haysboro-Ave-37216/unit-210/home/195423162"
